model,ambiguity_type,condition,violation_rate,n_violations,n_total
claude-sonnet-4-6,authorization_scope,ambiguous,0.12,6,50
claude-sonnet-4-6,authorization_scope,unambiguous,0.0,0,50
claude-sonnet-4-6,conditional_precedence,ambiguous,0.36,18,50
claude-sonnet-4-6,conditional_precedence,unambiguous,0.06,3,50
claude-sonnet-4-6,coreferential,ambiguous,0.22,11,50
claude-sonnet-4-6,coreferential,unambiguous,0.14,7,50
claude-sonnet-4-6,incompleteness,ambiguous,0.48,24,50
claude-sonnet-4-6,incompleteness,unambiguous,0.0,0,50
claude-sonnet-4-6,lexical,ambiguous,0.32,16,50
claude-sonnet-4-6,lexical,unambiguous,0.06,3,50
claude-sonnet-4-6,scopal,ambiguous,0.32,16,50
claude-sonnet-4-6,scopal,unambiguous,0.02,1,50
deepseek-v3,authorization_scope,ambiguous,0.6,30,50
deepseek-v3,authorization_scope,unambiguous,0.14,7,50
deepseek-v3,conditional_precedence,ambiguous,0.38,19,50
deepseek-v3,conditional_precedence,unambiguous,0.1,5,50
deepseek-v3,coreferential,ambiguous,0.44,22,50
deepseek-v3,coreferential,unambiguous,0.18,9,50
deepseek-v3,incompleteness,ambiguous,0.54,27,50
deepseek-v3,incompleteness,unambiguous,0.08,4,50
deepseek-v3,lexical,ambiguous,0.54,27,50
deepseek-v3,lexical,unambiguous,0.04,2,50
deepseek-v3,scopal,ambiguous,0.48,24,50
deepseek-v3,scopal,unambiguous,0.1,5,50
gpt-4.1,authorization_scope,ambiguous,0.46,23,50
gpt-4.1,authorization_scope,unambiguous,0.04,2,50
gpt-4.1,conditional_precedence,ambiguous,0.36,18,50
gpt-4.1,conditional_precedence,unambiguous,0.0,0,50
gpt-4.1,coreferential,ambiguous,0.32,16,50
gpt-4.1,coreferential,unambiguous,0.1,5,50
gpt-4.1,incompleteness,ambiguous,0.58,29,50
gpt-4.1,incompleteness,unambiguous,0.04,2,50
gpt-4.1,lexical,ambiguous,0.34,17,50
gpt-4.1,lexical,unambiguous,0.12,6,50
gpt-4.1,scopal,ambiguous,0.38,19,50
gpt-4.1,scopal,unambiguous,0.06,3,50
gpt-5.4,authorization_scope,ambiguous,0.64,32,50
gpt-5.4,authorization_scope,unambiguous,0.0,0,50
gpt-5.4,conditional_precedence,ambiguous,0.34,17,50
gpt-5.4,conditional_precedence,unambiguous,0.0,0,50
gpt-5.4,coreferential,ambiguous,0.18,9,50
gpt-5.4,coreferential,unambiguous,0.08,4,50
gpt-5.4,incompleteness,ambiguous,0.46,23,50
gpt-5.4,incompleteness,unambiguous,0.02,1,50
gpt-5.4,lexical,ambiguous,0.42,21,50
gpt-5.4,lexical,unambiguous,0.04,2,50
gpt-5.4,scopal,ambiguous,0.42,21,50
gpt-5.4,scopal,unambiguous,0.02,1,50
qwen3-235b,authorization_scope,ambiguous,0.26,13,50
qwen3-235b,authorization_scope,unambiguous,0.1,5,50
qwen3-235b,conditional_precedence,ambiguous,0.4,20,50
qwen3-235b,conditional_precedence,unambiguous,0.14,7,50
qwen3-235b,coreferential,ambiguous,0.42,21,50
qwen3-235b,coreferential,unambiguous,0.14583333333333334,7,48
qwen3-235b,incompleteness,ambiguous,0.62,31,50
qwen3-235b,incompleteness,unambiguous,0.08,4,50
qwen3-235b,lexical,ambiguous,0.52,26,50
qwen3-235b,lexical,unambiguous,0.12,6,50
qwen3-235b,scopal,ambiguous,0.3673469387755102,18,49
qwen3-235b,scopal,unambiguous,0.06,3,50
